"X","AI_Prov_Name","File_Date","File_Count","Group_Count","Ethnicity","IEP","LEP","Gender","Ven_Stud_ID","Grade","Stud_Test_ID","Score_Flag","Item_ID","Item_Response","Final_Score","Data_Point","Read1_Date","Read1_ID","Read1_Score","Read1_Cond","Read2_Date","Read2_ID","Read2_Score","Read2_Cond","Read3_Date","Read3_ID","Read3_Score","Read3_Cond","Read5_Date","Read5_ID","Read5_Score","Read5_Cond","Alert_Code","Alert_ReaderID","prediction"
0,"AI-XC",20131119122054,1000,1000,"W","","","F",699263,5,10592804,"Y",53299,"It would be greater because if you put a six where the question mark is, it would be greater than 6.059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611651060618286
1,"AI-XC",20131119122054,1000,1000,"I","N","N","M",699312,5,10592810,"Y",53299,"6.059 < 6.060, because 0.060 is bigger than 0.059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9522973584401
2,"AI-XC",20131119122054,1000,1000,"W","N","N","F",699373,5,10592816,"Y",53299,"The answer on the left has to be bigger than the one on the right because the sign means that the number has to be bigger than the one that is already writen down.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0601722405486445
3,"AI-XC",20131119122054,1000,1000,"W","Y","N","F",699749,5,10592862,"Y",53299,"because it has the rounding sign that means it is lessthan the # next to it !",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,"AI-XC",20131119122054,1000,1000,"W","N","N","F",699802,5,10592865,"Y",53299,"I need to know with what number in the 10's spot 6.059 is less than the other number. So I found a number that is larger then 5, and I used eight. So I put the eight  in the tens spot.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762641533802617
5,"AI-XC",20131119122054,1000,1000,"W","N","N","M",700700,5,10592871,"Y",53299,"60 is bigger than 59 and the number to the right is supposed to be bigger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.944831638447656
6,"AI-XC",20131119122054,1000,1000,"H","N","Y","M",700768,5,10592878,"Y",53299,"its 9 because 9 is greater than 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994258506456281
7,"AI-XC",20131119122054,1000,1000,"H","N","Y","F",700769,5,10592926,"Y",53299,"I put 60 because 60 is bigger than 59 so I have decided to do it like it said to do in the comparison. Because 60 is always going to be bigger than 59 that is why I put 60 I would have put another number I could have but I decided to put 60 instead. I could have some numbers like even more than 80 70 or 80 or some numbers bigger than 50 but adding by 10's that is how i got 60.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984069307107493
8,"AI-XC",20131119122054,1000,1000,"H","N","Y","M",700812,5,10592930,"Y",53299,"You have to put a number that is larger than 59 for it to be true.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836391890972837
9,"AI-XC",20131119122054,1000,1000,"NR","","","M",700854,5,10592936,"Y",53299,"6.059 and 6.0?0 i think that the magic number should be 6 becouse 6.059 is less then 6.060 and it says that 6.0?0 is greater that 6.059 so i thought that the missing number would be 6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983241354430341
10,"AI-XC",20131119122054,1000,1000,"H","N","N","F",700855,5,10593021,"Y",53299,"if it is a 6 in the hundredths place it will be greater and the comparison will be right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.302102830484671
